puck_id,x_offset,y_offset,z_offset
fc_1_L1_tile_1532,168695,1161024,0
fc_1_L1_tile_1533,168695,1197306,0
fc_1_L1_tile_1534,168695,1233588,0
fc_1_L1_tile_1535,168695,1269870,0
fc_1_L1_tile_1536,168695,1306152,0
fc_1_L1_tile_1537,168695,1342434,0
fc_1_L1_tile_1538,168695,1378716,0
fc_1_L1_tile_1539,168695,1414998,0
fc_1_L1_tile_1540,168695,1451280,0
fc_1_L1_tile_1541,168695,1487562,0
fc_1_L1_tile_1542,168695,1523844,0
fc_1_L1_tile_1543,168695,1560126,0
fc_1_L1_tile_1544,168695,1596408,0
fc_1_L1_tile_1545,168695,1632690,0
fc_1_L1_tile_1546,168695,1668972,0
fc_1_L1_tile_1547,168695,1705254,0
fc_1_L1_tile_1548,168695,1741536,0
fc_1_L1_tile_1549,168695,1777818,0
fc_1_L1_tile_1550,168695,1814100,0
fc_1_L1_tile_1551,168695,1850382,0
fc_1_L1_tile_1552,168695,1886664,0
fc_1_L1_tile_1553,168695,1922946,0
fc_1_L1_tile_1554,168695,1959228,0
fc_1_L1_tile_1555,168695,1995510,0
fc_1_L1_tile_1556,168695,2031792,0
fc_1_L1_tile_1557,168695,2068074,0
fc_1_L1_tile_1558,168695,2104356,0
fc_1_L1_tile_1559,168695,2140638,0
fc_1_L1_tile_1560,168695,2176920,0
fc_1_L1_tile_1561,168695,2213202,0
fc_1_L1_tile_1562,168695,2249484,0
fc_1_L1_tile_1563,168695,2285766,0
fc_1_L1_tile_1564,168695,2322048,0
fc_1_L1_tile_1565,168695,2358330,0
fc_1_L1_tile_1566,168695,2394612,0
fc_1_L1_tile_1567,168695,2430894,0
fc_1_L1_tile_1568,168695,2467176,0
fc_1_L1_tile_1569,168695,2503458,0
fc_1_L1_tile_1570,168695,2539740,0
fc_1_L1_tile_1571,168695,2576022,0
fc_1_L1_tile_1572,168695,2612304,0
fc_1_L1_tile_1573,168695,2648586,0
fc_1_L1_tile_1574,168695,2684868,0
fc_1_L1_tile_1575,168695,2721150,0
fc_1_L1_tile_1576,168695,2757432,0
fc_1_L1_tile_1577,168695,2793714,0
fc_1_L1_tile_1578,168695,2829996,0
fc_1_L1_tile_1601,202434,30081,0
fc_1_L1_tile_1602,202434,66363,0
fc_1_L1_tile_1603,202434,102645,0
fc_1_L1_tile_1604,202434,138927,0
fc_1_L1_tile_1605,202434,175209,0
fc_1_L1_tile_1606,202434,211491,0
fc_1_L1_tile_1607,202434,247773,0
fc_1_L1_tile_1608,202434,284055,0
fc_1_L1_tile_1609,202434,320337,0
fc_1_L1_tile_1610,202434,356619,0
fc_1_L1_tile_1611,202434,392901,0
fc_1_L1_tile_1612,202434,429183,0
fc_1_L1_tile_1613,202434,465465,0
fc_1_L1_tile_1614,202434,501747,0
fc_1_L1_tile_1615,202434,538029,0
fc_1_L1_tile_1616,202434,574311,0
fc_1_L1_tile_1617,202434,610593,0
fc_1_L1_tile_1618,202434,646875,0
fc_1_L1_tile_1619,202434,683157,0
fc_1_L1_tile_1620,202434,719439,0
fc_1_L1_tile_1621,202434,755721,0
fc_1_L1_tile_1622,202434,792003,0
fc_1_L1_tile_1623,202434,828285,0
fc_1_L1_tile_1624,202434,864567,0
fc_1_L1_tile_1625,202434,900849,0
fc_1_L1_tile_1626,202434,937131,0
fc_1_L1_tile_1627,202434,973413,0
fc_1_L1_tile_1628,202434,1009695,0
fc_1_L1_tile_1629,202434,1045977,0
fc_1_L1_tile_1630,202434,1082259,0
fc_1_L1_tile_1631,202434,1118541,0
fc_1_L1_tile_1632,202434,1154823,0
fc_1_L1_tile_1633,202434,1191105,0
fc_1_L1_tile_1634,202434,1227387,0
fc_1_L1_tile_1635,202434,1263669,0
fc_1_L1_tile_1636,202434,1299951,0
fc_1_L1_tile_1637,202434,1336233,0
fc_1_L1_tile_1638,202434,1372515,0
fc_1_L1_tile_1639,202434,1408797,0
fc_1_L1_tile_1640,202434,1445079,0
fc_1_L1_tile_1641,202434,1481361,0
fc_1_L1_tile_1642,202434,1517643,0
fc_1_L1_tile_1643,202434,1553925,0
fc_1_L1_tile_1644,202434,1590207,0
fc_1_L1_tile_1645,202434,1626489,0
fc_1_L1_tile_1646,202434,1662771,0
fc_1_L1_tile_1647,202434,1699053,0
fc_1_L1_tile_1648,202434,1735335,0
fc_1_L1_tile_1649,202434,1771617,0
fc_1_L1_tile_1650,202434,1807899,0
fc_1_L1_tile_1651,202434,1844181,0
fc_1_L1_tile_1652,202434,1880463,0
fc_1_L1_tile_1653,202434,1916745,0
fc_1_L1_tile_1654,202434,1953027,0
fc_1_L1_tile_1655,202434,1989309,0
fc_1_L1_tile_1656,202434,2025591,0
fc_1_L1_tile_1657,202434,2061873,0
fc_1_L1_tile_1658,202434,2098155,0
fc_1_L1_tile_1659,202434,2134437,0
fc_1_L1_tile_1660,202434,2170719,0
fc_1_L1_tile_1661,202434,2207001,0
fc_1_L1_tile_1662,202434,2243283,0
fc_1_L1_tile_1663,202434,2279565,0
fc_1_L1_tile_1664,202434,2315847,0
fc_1_L1_tile_1665,202434,2352129,0
fc_1_L1_tile_1666,202434,2388411,0
fc_1_L1_tile_1667,202434,2424693,0
fc_1_L1_tile_1668,202434,2460975,0
fc_1_L1_tile_1669,202434,2497257,0
fc_1_L1_tile_1670,202434,2533539,0
fc_1_L1_tile_1671,202434,2569821,0
fc_1_L1_tile_1672,202434,2606103,0
fc_1_L1_tile_1673,202434,2642385,0
